# key|theme IDs|relevance 1-5|design|method signals 1-4|direction|finding in Japanese|limitations in Japanese
C000|SLP-010|5|position_statement|2|context|睡眠機器を臨床評価の補助として扱う考え方と、診断への安易な転用の問題を整理した立場表明。|2018年時点の米国の声明。現在の全製品の承認状況や精度を示すものではない。
C035|SOC-007|5|meta_analysis|3|mixed|反復接触による好意は単調な増加だけでなく逆U字型の傾向があり、刺激や提示方法で異なると報告。|嫌がる相手への反復接触を正当化しない。視覚と聴覚を同じに扱わない。
C036|SOC-008|5|meta_analysis|3|mixed|自由を脅かす言い方は怒りや反発を増やす傾向があった一方、利得と損失の表現差では同じ効果は明確でなかった。|説得結果への相関とメッセージ操作の効果を区別。相手を操作する指南にしない。
C037|SOC-009|5|meta_analysis|3|association|136独立標本を統合し、心理的安全性と仕事の態度・成果・組織条件の関連を検討。|元研究の因果性を全文で確認する必要がある。心理的安全性を仲良しや無責任と同義にしない。
C038|WEL-003|5|narrative_review|2|mixed|幸福の基準点や適応には個人差があり、全員が同じ水準へ完全に戻るという単純なモデルを修正する議論。|理論・研究の整理であり、苦痛から必ず回復できる期間を示すものではない。
C039|WEL-004|5|metadata_only|1|not_evaluated|-|経験と物への購入を比較する研究の書誌。購入すれば幸福になるという推奨や効果の数値は未確認。
C040|WEL-006|5|surveys_and_experiments|3|mixed|多国の調査と複数の実験で、他者のための支出と幸福感の関係を検討した。|観察・想起課題・実際の支出を区別。寄付額や効果の普遍性、長期持続を保証しない。
C041|WEL-008|5|meta_analysis_cohorts|3|association|10前向き研究で、人生の目的感と死亡・心血管イベントの関連を検討。|目的を持つ介入で寿命が延びるという証明ではない。健康状態や生活条件の交絡が残る。
C042|NUT-003|5|meta_analysis_experiments|3|mixed|24研究で食事中の注意・記憶と、その場や後の摂取量を比較。気が散る条件で摂取量が増える傾向を報告。|短期の摂取量を長期の体重変化へ読み替えない。収載研究の訂正・撤回と新しい統合結果の照合が必要。
C043|NUT-003|5|systematic_review_meta_analysis|3|mixed|23研究の統合は全解析で一律に有意ではなく、テレビのみの比較では小さな効果、次の食事と直後の食事で違いがあった。|肯定的な題名だけで結論を要約しない。解析対象・異質性・アウトカム時点を明示する。
C044|NUT-005|5|cochrane_systematic_review|3|mixed|24試験で食品の選択肢や距離を変える効果を検討。証拠の確実性は著者らのGRADEで低い～非常に低い。|題名にある酒・タバコの試験は収載されず、全て食品。実験室・高所得国が多く、万能な環境設計とはしない。
C045|DEV-002|5|conceptual_replication_observational|3|challenges|子どもの待てる時間と後の学業の関連は、家庭背景・早期認知能力等を調整すると大きく減った。|自制心が無意味という結果ではない。一回のテストで子どもの将来や親の育て方を判断しない。
C046|DEV-002|5|preregistered_longitudinal_analysis|3|challenges|702人の成人期追跡では、幼少期のテストによる成人の成果の予測は概して弱かった。|前の追試と関連するデータ系列であり、独立した二重の再現と数えない。対象者の属性と欠測を全文で確認する。
C047|DEV-006|5|meta_analysis_randomized_trials|3|supports|19RCTで親子の絵本共有への介入と子どもの言語等を検討し、平均的な改善を報告。|介入量や対象年齢、親への支援内容を分ける。読んだ冊数だけの効果や全家庭への保証ではない。
C048|DEV-006|5|systematic_review|3|mixed|3歳未満の読み聞かせ介入12研究を整理し、親子の実際の行動を直接測った研究は半数に限られた。|乳幼児の知見を年長児と混同せず、尺度・測定場面を確認する。
C049|DEV-007|5|systematic_review_meta_analysis|3|association|幼児の画面使用は時間だけでなく内容・共視聴・背景テレビ等と発達との関連を区別する必要を示した。|メタ分析の中心は観察研究。親の共視聴が発達を必ず改善するという因果結論にはしない。
C050|AGE-010|4|integrative_review|2|context|メモや通知などに情報処理を外在化する仕組みと、その認知的な帰結を整理。|主に一般的な認知の概説で、高齢者の長期的な記憶低下を直接測った介入試験ではない。
C051|DIG-004|5|randomized_trial|3|supports|154人を1週間のSNS休止と通常利用に割り付け、気分関連指標の短期改善を報告。|自己報告と短い追跡。臨床患者や長期利用、失われる交流や便益は別途検討する。
C052|DIG-004|5|randomized_trial|3|supports|スマホのインターネットを2週間遮断し、心理指標や持続注意の改善を報告。電話・SMSや別端末のネット利用は維持された。|参加者の遵守と欠測に大きな制約。全員が同じ効果を得る、単なる画面時間削減で同じ結果になるとはしない。
C053|DIG-001,DIG-004|5|randomized_field_experiment|3|mixed|米国の選挙前にFacebookを休止する実験で幸福感などが変化した一方、ニュース知識も減った。|特定時期・サービスの知見。SNSの便益と害を両方扱い、現在の全SNSに一般化しない。
C054|DIG-005|5|metadata_only|1|not_evaluated|-|FOMOの基礎研究の書誌のみ。尺度の妥当性や使用行動との因果関係は今回未確認。
C055|WRK-004|5|meta_analysis_prospective_cohorts|3|association|8コホートで、努力に報酬が見合わないと感じる状態とうつ病の新規発症との関連を報告。|事前登録と感度分析は記載されるが観察研究。待遇を変える介入の効果や本人の将来を直接予測しない。
C056|WRK-005|5|meta_analysis_observational|3|association|感情労働では、表面的な演技と内面の感情調整で、健康・仕事への態度・成果との関連が異なった。|相関と因果を分け、接客者の我慢や自己管理だけに責任を求めない。
C057|WRK-006|5|metadata_only|1|not_evaluated|-|仕事の工夫を促す介入のメタ分析の書誌。結果と研究の品質をまだ読解していない。
C058|WRK-007|5|meta_analysis|3|association|172研究で、人と仕事・組織・集団・上司の適合と就職や仕事の態度・成果等の関連を整理。|適合の測り方が異なる。性格診断だけで適職を断定したり、相関を採用・転職の処方に使ったりしない。
C059|WRK-009|5|metadata_only|1|not_evaluated|-|会議負荷と日々の幸福を直接扱う研究の書誌。休憩や空気質の研究を代用せず、本論文の方法・結果を次に確認する。
C060|WRK-011|5|systematic_review|3|mixed|62研究の検討では、インポスター感の推定頻度は尺度や基準で大きく異なり、当時は治療評価研究がなかった。|2018年までの検索であり現在の治療研究不存在を意味しない。正式な疾患名として自己診断しない。
C061|WRK-014|5|metadata_only|1|not_evaluated|-|職場の雑談を直接扱う研究の書誌。題名にある気分向上・注意散漫の結果は本文確認前に断定しない。
C062|MON-002|5|metadata_only|1|not_evaluated|-|キャッシュレス決済のメタ分析の書誌のみ。平均効果や条件差は本文・抄録を確認してから記載する。
C063|MON-003|5|metadata_only|1|not_evaluated|-|メンタルアカウンティングの基礎論考の書誌。単一の因果効果を証明する資料として扱わない。
C064|MON-010|5|behavioral_experiments|2|supports|無料と少額の価格を比較する実験で、ゼロ価格が通常の価格差とは異なる選択を促す結果を報告。|特定の商品・実験条件の結果。無料なら常に不合理な選択になるとはしない。
C065|MON-013|5|metadata_only|1|not_evaluated|-|贈り物の希望を明示することを扱う研究の書誌のみ。文化差や親密さ、結果は追加確認する。
C066|INT-002|5|metadata_only|1|not_evaluated|-|カップルの新しい活動と関係の質を扱う研究の書誌。本文・独立追試は未確認。
C067|INT-005|5|meta_analysis_observational|3|association|93研究で親密さについての会話と関係・性的満足の関連を統合。会話の量より質で関連が大きい傾向を報告。|良い関係だから会話しやすいという逆因果もある。話題や行動への同意を強制しない。
C068|INT-005|4|meta_analysis_observational|3|association|48研究で性的コミュニケーションと性機能の複数指標との関連を検討。|会話を増やすだけで機能が改善するという治療の証明ではない。前のメタ分析との収載重複を確認する。
C069|INT-006|5|cross_sectional_study|2|association|幼い子どもの母親322人で、家事の計画・段取りと実行の負担を分け、心の健康との関連を検討。|自己報告・一時点・母親中心の標本。家族全体の実測や因果効果ではなく、性別で役割を固定しない。
C070|INT-011|5|meta_analysis_longitudinal|3|mixed|出産前後に関係満足の平均的低下が見られたが、子どもを持たない新婚者の比較でも同様の低下があり、出産固有の作用は単純でない。|全家庭の必然ではない。比較群・時点・欠測・支援環境を確認する。
C071|INT-012|5|metadata_only|1|not_evaluated|-|関係の運命観・成長観を扱う基礎研究の書誌。危険な関係への努力継続を正当化しない。
C072|HPS-003|4|clinical_guideline|3|context|IBSの評価と治療について、GRADEと合意形成に基づく指針で、腸に向けた心理療法も選択肢として扱う。|緊張時の腹痛全般をIBSと診断しない。米国の指針であり、薬や検査を個別に勧める資料ではない。
C073|HPS-004|5|meta_analysis_observational|3|association|不安に伴う身体感覚への恐れは、不安障害等と関連するが、疾患・尺度・年齢で違いがあった。|抄録自身が因果推論はできないと注意。動悸や胸痛を心理だけの問題と判断しない。
C074|HPS-005|5|metadata_only|1|not_evaluated|-|SNSと身体像のメタ分析の書誌。追加した新しい関連研究と重複・尺度・対象を照合する。
C075|HPS-007|5|prospective_viral_challenge_study|3|association|ウイルスへの曝露を管理した研究で、事前のストレスの程度と感染・風邪発症の関連を報告。|ストレス自体を無作為割付した試験ではない。感染を気の持ちようや本人の責任に還元しない。
C076|HPS-008,MEN-009|5|narrative_review|2|context|治療への否定的期待や説明と症状の経験を扱うノセボ研究の概説。|真の副作用を否定せず、必要なリスク説明を省略しない。個別の治療中断や変更を勧めない。
C077|HPS-009|5|systematic_review_meta_analysis|3|association|健康情報の反復検索と健康不安等との関連を整理し、因果的な経路の追加検証が必要とした。|検索すれば必ず不安が増すという結論ではなく、不安が検索を促す可能性もある。
C078|HPS-011|5|cochrane_systematic_review|3|mixed|182RCTの結果は不均一で、低バイアス試験でも服薬継続と臨床結果の双方が改善したものは少なかった。|2013年までの検索。服薬支援を万能なアプリやリマインダー一つに還元せず、薬の自己調整を勧めない。
C079|HPS-012,DEC-005|5|cochrane_systematic_review|3|mixed|自然頻度と確率、相対的減少と絶対的減少では理解や説得力が異なると整理。|行動を評価した比較はなく、理解度から健康行動の改善を直接推論しない。古いレビューで更新調査が必要。
C080|ENV-003|5|systematic_review_meta_analysis|3|mixed|交通騒音と睡眠には客観的・主観的指標の関連があり、質問の言い方や音源でも結果が異なった。|著者らの確実性は結果別に中程度から非常に低い。全ての音源や慣れの効果に一般化しない。
C081|ENV-004|5|before_after_field_studies|2|challenges|2企業でオープン化の前後を測定し、対面交流が減り電子的な交流が増える結果を報告。|無作為化でなく、同時期の他の変化を除けない。全オフィスに同じ減少率を当てはめない。
C082|ENV-007|5|within_person_experiment|2|supports|においを伴う自伝的記憶は、同じ手掛かりの視覚提示等より感情的に感じられる傾向を報告。|鮮明さや感情の強さは記憶の事実的正確さとは別。
C083|ENV-010|5|narrative_review|2|mixed|色と心理の研究には理論・方法上の弱点が残り、実生活への応用を急がないことを提案。|部屋の色で集中力を確実に変えられるという介入効果の証明ではない。
C084|ENV-010|5|historical_methodological_review|2|context|色彩研究の歴史と方法上の問題を整理し、研究を解釈するための注意を提示。|概説であり特定の色の効果量を算出したメタ分析ではない。
C085|ENV-012|5|systematic_review_meta_analysis|3|mixed|自然音の研究を統合し、ストレスや感情などの平均的な改善を報告。|効果量の区間が広い指標があり、音源・対照条件・介入内容が異なる。特定音源や治療効果を保証しない。
C086|CRE-003,DIG-006|5|preregistered_experiments|3|mixed|7実験で動画の切り替えと退屈を検討し、切り替えが退屈を強める場合を報告。記事や大学外の標本では結果が明確でない条件もあった。|6実験が事前登録。長期の依存や全プラットフォームへの一般化ではない。
C087|CRE-005,ATT-006|5|meta_analysis_experiments|3|mixed|問題を一度離れる効果は課題の種類、準備時間、間に行う活動の負荷によって異なると整理。|休めばどの問題も解けるわけではない。発散的思考と正解のある課題を分ける。
C088|CRE-007|4|systematic_review_meta_analysis|3|mixed|音楽を聴く、歌う、音楽療法などをまとめて生活の質の改善を検討。|単群前後比較も含む。趣味として演奏することだけの因果効果に切り出さず、臨床介入と一般の趣味を分ける。
C089|CRE-009|5|meta_analysis_observational|3|association|親和的・自己を支えるユーモアと、攻撃的・自己を傷つけるユーモアでは幸福との関連が異なった。|相関を因果に変換しない。冗談による攻撃や自己否定を対処法として勧めない。
C090|CRE-012|5|metadata_only|1|not_evaluated|-|集団のブレインストーミングと生産性を扱う統合研究の書誌。案の数・質と現在のオンライン協働への適用を追加確認する。
C091|LAN-004|5|group_comparison_experiments|2|mixed|内的な言葉が少ないと報告する群で一部の言語課題に差があった一方、課題切替などには差がなかった。|自己報告で分けた小標本。内的独り言の少なさを一般知能や障害の診断に結びつけない。
C092|LAN-006|5|metadata_only|1|not_evaluated|-|アクセントと信頼判断の研究の書誌。訛りを能力や誠実さの指標として正当化しない。
C093|LAN-007|5|experiments|2|supports|メールの意図や感情が、送り手の想定ほど受け手に伝わらない場合を5実験で検討。|当時のメール課題と現在の全メッセージ媒体は異なる。短文を不機嫌と断定する規則にしない。
C094|LAN-009|5|field_and_laboratory_experiments|3|mixed|通勤等で見知らぬ人との会話が、予想より肯定的に経験される場面を検討した。|安全感・文化・会話したくない人の選択を尊重。誰にでも話しかければ幸福になるという助言にしない。
C095|LAN-010|4|systematic_review|3|mixed|医療現場で説明を受けた人に言い返してもらう方法の実装・効果を20研究で整理。研究の質は混在した。|一般の授業や職場への移植は追加検証。相手を試験するのでなく説明の伝わり方を確認する方法として扱う。
C096|LAN-011,EMO-002|5|experiments|2|supports|自分の名前や一人称でない表現を使う内省と、対人ストレス時の反応を7研究で検討。|一論文内の実験群を独立した追試群と数えない。言語・文化差や長期の治療効果は未確認。
C097|LAN-012|4|meta_analysis|3|mixed|物語型と非物語型メッセージで、直後と遅れて測った態度・意図・行動への説得力を比較。|説得力は正しさの証拠ではない。一般の物語研究と健康情報の個別判断を区別する。
C098|LIF-006|5|longitudinal_observational|2|association|別れの後の87人を追い、症状の推移に複数のパターンがあり、反すう等との関連を報告。|データから分類した小標本の軌跡。回復の期限や本人の責任を示さない。
C099|LIF-006|5|longitudinal_observational|2|association|別れを経験した若年成人で、症状の上昇と回復、出来事の受け止め方による違いを検討。|平均で戻った時期を、全員が立ち直る期限にしない。別研究の軌跡と比較して個人差を残す。
C100|LIF-011|4|observational_studies|2|association|達成困難な目標から離れることと、別の目標に再関与することの両面が幸福と関連する場合を報告。|病気の本人への治療試験ではなく、医療・リハビリの中止を勧めるものではない。
C101|LIF-012|4|randomized_intervention|3|supports|大学での所属感を支える短い介入について、学業や健康に関する結果を検討。|特定の大学生集団の試験。日本の転職や全集団への一般化、実際の差別の否定には使わない。
S104|REL-010|5|experiments|3|challenges|25実験で、相手の立場を想像するだけでは心の読み取りの正確さが一貫して改善せず、直接会話して情報を得ることが役立つ条件を示した。|共感そのものが無意味という結論ではない。正確性と他者への配慮を区別する。
S108|MON-012|3|longitudinal_observational|2|association|学生の就職活動では最大化傾向と高い初任給が関連する一方、満足や感情には不利な関連もあった。|買い物の直接実験ではない。就職活動の例としてのみ使い、慎重な比較の全否定にしない。
S110|LAN-005|5|meta_analysis|3|mixed|83独立標本を統合し、身ぶりを見たり作ったりすることと理解の改善を検討。身ぶりの種類や課題で差があった。|長期の記憶や全教材に同じ効果を保証しない。アクセシビリティへの配慮も必要。
S112|HAB-010|5|randomized_field_trial|3|supports|スウェーデンのジム会員1629人で、金銭を伴う契約の提示と来館行動の変化を比較。|契約の提示効果と実際に契約した人の効果を分ける。損失や負担があり、罰金式の自己管理を一律に勧めない。
S114|GEN-010|5|longitudinal_observational|3|mixed|メキシコ系の若者674人で、児童期の気質と成人期の性格の連続性・変化を比較。|特定の文化集団と尺度の縦断研究。幼い子どもの将来を固定的に予測する検査ではない。
S115|PER-008|5|experiment|2|challenges|ランダムな性格プロフィールでも、本人の実際の傾向から大きく外れた説明は拒否される場合を示した。|古典の一般的説明とは課題・数値プロフィールが違う。バーナム効果全体の有無を一論文で決めない。
S116|REL-007|3|systematic_review|3|mixed|医療従事者・学生の自己主張トレーニングを検討し、一部の改善と対象・方法による差を報告。|一般人の日常的な断り方や長期の安全性を直接検証したものではない。組織の権力差も考慮する。
S117|REL-009|5|experiments|2|mixed|謝罪による信頼修復は、能力上の失敗か誠実さの侵害か、口頭か書面かなどで異なる結果だった。|短期の実験的な信頼判断であり、被害者に許すことを要求する根拠ではない。
S119|HPS-005|5|systematic_review_meta_analysis|3|association|83研究を統合し、SNS上の比較と身体像の不安・食行動上の症状の関連を報告。|方向を確定する因果試験ではない。体形の価値判断や極端な食事制限につなげない。
S120|EXE-010|4|systematic_review_meta_analysis|3|association|7研究で完璧主義と強迫的な運動の関連を検討。|多くが横断研究で臨床標本も少ない。頻繁に運動することだけで依存と診断しない。
S121|NUT-008|4|systematic_review_meta_analysis|3|mixed|72RCTで腸内細菌に関わる介入と抑うつ・不安・睡眠を検討し、改善を報告する一方で高い異質性と方法の制約を指摘。|性格を変える研究ではない。製品・菌株・対象者を一括りにせず、サプリや治療の自己変更を勧めない。
S122|NUT-010|4|randomized_trial_secondary_analysis|3|mixed|生活介入の小規模な長期サブ研究では、柔軟な抑制だけでなく厳格な抑制の変化も体重維持と関連した。|厳格な食事ルールは必ず悪いという単純化への注意。個々の抑制を無作為割付したわけではなく、媒介解析は因果証明でない。
S123|DEV-003|4|systematic_review_meta_analysis|3|mixed|幼児の実行機能への介入は領域ごとに異なり、一部に小さな効果、ほぼゼロの効果も見られた。|訓練課題の変化を将来の成功に結びつけない。短期・異質性・一般化の制約が残る。
S124|DEV-005|4|meta_analysis|3|mixed|幼少期の愛着は一定の安定性と変化の双方があり、出版バイアスも検出された。|幼少期の区分と成人の恋愛を同一視しない。全人生を決定するという根拠ではない。
S125|AGE-001|4|cross_sectional_longitudinal_comparison|2|mixed|加齢による認知成績の変化と、縦断研究で同じ検査を受ける練習効果を検討。|関連する批判・応答の索引情報あり。横断的な世代差と個人の加齢を混同せず、全文と反論を次に確認する。
S130|RES-010|5|methodological_review|2|context|一人の中で比較を繰り返すN-of-1試験の報告指針と透明性・個人情報上の注意を整理。|日常の自己記録がそのまま因果実験になるわけではない。薬・睡眠削減等の危険な自己実験は対象外。
S132|MON-007|4|uncontrolled_pilot|1|preliminary|経済的な困難がある18組のカップルで、会話・対処・家計技能を組み合わせるプログラムの前後を検討。|対照群のない小規模予備研究。改善を確実な因果効果とせず、有望な調査入口として扱う。
S134|INT-004|5|expert_position_statement|2|context|親密さを求める度合いの違いについて、個人を病理化せず二人の文脈で考える専門家の立場表明。|原文自身がエビデンス不足で意見に基づくと明記。学会名だけで高確実性と評価せず、同意を優先する。
S136|INT-010|5|longitudinal_observational|3|mixed|ドイツの未婚者2930人の11年間の推移で、人生満足と恋人を求める気持ち等を分け、多様な軌跡を報告。|未婚であることを無作為割付した研究ではない。国・年齢・選択の違いを考慮する。
S138|HPS-010|3|meta_analysis_observational|3|association|予防接種についてのリスク知覚と行動を34研究で検討。測定法や前向き設計で関連の大きさが違った。|健診結果や全予防行動への直接の根拠ではない。恐怖を強めれば望ましい行動になるとはしない。
S139|ENV-006|2|laboratory_comparison|2|context|画面上の情報の混雑と、視線・金融リスク判断を比較する研究。|部屋の散らかりを直接検証していないため背景資料に限定。片づけの生活指導の根拠にはしない。
S145|MON-011|5|integrative_review|2|mixed|所有による価値評価の違いを、損失回避だけでなく認知的な枠組み等の複数の説明から整理。|所有すれば必ず高く評価するという固定則ではない。単一の神経機序や万能な売買指南にしない。
